#Time(s) flow thruput(Mb/s)
1.2s 1 155.226
1.2s 2 77.6128
1.2s 3 24.3264
1.2s 4 9.2672
1.2s 5 6.9504
1.2s 6 23.168
1.2s 7 192.294
1.2s 8 86.88
1.2s 9 33.5936
1.21s 0 27.8016
1.21s 1 2.3168
1.21s 2 56.7616
1.21s 3 32.4352
1.21s 4 32.4352
1.21s 5 1.1584
1.21s 6 11.584
1.21s 7 45.1776
1.21s 8 26.6432
1.21s 9 1.1584
1.22s 0 121.632
1.22s 1 454.093
1.22s 2 1.1584
1.22s 3 78.7712
1.22s 4 1.1584
1.22s 5 0
1.22s 6 1.1584
1.22s 7 105.414
1.22s 8 223.571
1.22s 9 0
1.23s 0 183.027
1.23s 1 289.6
1.23s 2 0
1.23s 3 105.414
1.23s 4 0
1.23s 5 0
1.23s 6 0
1.23s 7 120.474
1.23s 8 180.71
1.23s 9 0
1.24s 0 0
1.24s 1 0
1.24s 2 479.578
1.24s 3 44.0192
1.24s 4 206.195
1.24s 5 0
1.24s 6 0
1.24s 7 16.2176
1.24s 8 5.792
1.24s 9 0
1.25s 0 3.4752
1.25s 1 44.0192
1.25s 2 100.781
1.25s 3 66.0288
1.25s 4 28.96
1.25s 5 0
1.25s 6 0
1.25s 7 32.4352
1.25s 8 113.523
1.25s 9 0
1.26s 0 162.176
1.26s 1 56.7616
1.26s 2 133.216
1.26s 3 1.1584
1.26s 4 272.224
1.26s 5 0
1.26s 6 0
1.26s 7 216.621
1.26s 8 49.8112
1.26s 9 0
1.27s 0 169.126
1.27s 1 100.781
1.27s 2 67.1872
1.27s 3 0
1.27s 4 143.642
1.27s 5 63.712
1.27s 6 0
1.27s 7 101.939
1.27s 8 110.048
1.27s 9 3.4752
1.28s 0 37.0688
1.28s 1 28.96
1.28s 2 201.562
1.28s 3 0
1.28s 4 3.4752
1.28s 5 202.72
1.28s 6 44.0192
1.28s 7 127.424
1.28s 8 2.3168
1.28s 9 136.691
1.29s 0 1.1584
1.29s 1 0
1.29s 2 16.2176
1.29s 3 0
1.29s 4 79.9296
1.29s 5 467.994
1.29s 6 1.1584
1.29s 7 1.1584
1.29s 8 1.1584
1.29s 9 1.1584
1.3s 0 0
1.3s 1 167.968
1.3s 2 229.363
1.3s 3 0
1.3s 4 157.542
1.3s 5 391.539
1.3s 6 0
1.3s 7 0
1.3s 8 0
1.3s 9 0
1.31s 0 9.2672
1.31s 1 173.76
1.31s 2 70.6624
1.31s 3 0
1.31s 4 98.464
1.31s 5 127.424
1.31s 6 0
1.31s 7 77.6128
1.31s 8 113.523
1.31s 9 0
1.32s 0 111.206
1.32s 1 0
1.32s 2 1.1584
1.32s 3 15.0592
1.32s 4 1.1584
1.32s 5 121.632
1.32s 6 0
1.32s 7 290.758
1.32s 8 218.938
1.32s 9 0
1.33s 0 1.1584
1.33s 1 0
1.33s 2 206.195
1.33s 3 6.9504
1.33s 4 55.6032
1.33s 5 128.582
1.33s 6 0
1.33s 7 1.1584
1.33s 8 195.77
1.33s 9 0
1.34s 0 0
1.34s 1 28.96
1.34s 2 192.294
1.34s 3 68.3456
1.34s 4 134.374
1.34s 5 294.234
1.34s 6 0
1.34s 7 0
1.34s 8 225.888
1.34s 9 0
1.35s 0 27.8016
1.35s 1 0
1.35s 2 12.7424
1.35s 3 27.8016
1.35s 4 6.9504
1.35s 5 2.3168
1.35s 6 250.214
1.35s 7 3.4752
1.35s 8 1.1584
