#Time(s) flow thruput(Mb/s)
0.7s 6 958.874
0.7s 7 960.102
0.7s 8 962.56
0.7s 9 1.2288
0.7s 10 846.643
0.7s 11 1.2288
0.7s 12 0.8192
0.7s 13 0
0.7s 14 0
0.7s 15 0
0.7s 16 0
0.7s 17 0
0.7s 18 0
0.7s 19 0
0.71s 0 958.054
0.71s 1 955.597
0.71s 2 957.235
0.71s 3 955.597
0.71s 4 956.826
0.71s 5 957.235
0.71s 6 958.054
0.71s 7 957.645
0.71s 8 965.018
0.71s 9 1.2288
0.71s 10 720.486
0.71s 11 0.8192
0.71s 12 1.2288
0.71s 13 0
0.71s 14 0
0.71s 15 0
0.71s 16 0
0.71s 17 0
0.71s 18 0
0.71s 19 0
0.72s 0 962.56
0.72s 1 962.56
0.72s 2 962.15
0.72s 3 961.331
0.72s 4 962.56
0.72s 5 962.15
0.72s 6 961.331
